Country_Name,Country_Code,2008,2009,2010,2011
Comoros,COM,61.09,61.48,61.86,62.24
Cabo Verde,CPV,70.79,70.91,71.06,71.24
Costa Rica,CRI,78.49,78.63,78.77,78.92
Caribbean small states,CSS,72.44,72.56,72.68,72.8
Cuba,CUB,78.15,78.26,78.34,78.4
Cyprus,CYP,79.07,79.24,79.43,79.62
Czech Republic,CZE,76.98,77.08,77.42,77.87
Germany,DEU,79.74,79.84,79.99,80.44
Djibouti,DJI,59.12,59.56,60.06,60.67
Denmark,DNK,78.45,78.6,79.1,79.8
Dominican Republic,DOM,71.56,71.81,72.05,72.28
Algeria,DZA,74.31,74.64,74.94,75.2
East Asia & Pacific (excluding high income),EAP,72.5,72.78,73.07,73.36
Early-demographic dividend,EAR,67.26,67.66,68.06,68.44
East Asia & Pacific,EAS,73.47,73.76,74.01,74.27
Europe & Central Asia (excluding high income),ECA,69.7,70.31,70.64,71.22
Europe & Central Asia,ECS,75.24,75.64,75.94,76.46
Ecuador,ECU,74.7,74.9,75.09,75.29
"Egypt, Arab Rep.",EGY,69.97,70.16,70.35,70.54
Euro area,EMU,80.3,80.51,80.75,81.23
Eritrea,ERI,60.95,61.6,62.19,62.73
Spain,ESP,81.18,81.48,81.63,82.48
Estonia,EST,73.77,74.82,75.43,76.23
Ethiopia,ETH,59.58,60.64,61.63,62.5
European Union,EUU,79.13,79.36,79.63,80.14
Fragile and conflict affected situations,FCS,57.76,58.19,58.61,59.01
Finland,FIN,79.57,79.72,79.87,80.47
Fiji,FJI,66.48,66.56,66.66,66.76
France,FRA,81.21,81.41,81.66,82.11
Faroe Islands,FRO,80.14,80.39,80.59,80.84
"Micronesia, Fed. Sts.",FSM,66.1,66.29,66.47,66.65
Gabon,GAB,59.9,60.64,61.4,62.17
United Kingdom,GBR,79.6,80.05,80.4,80.95
Georgia,GEO,70.95,71.18,71.46,71.77
Ghana,GHA,60.22,60.64,61.03,61.38
Guinea,GIN,55.61,56.28,56.86,57.39
"Gambia, The",GMB,59.01,59.33,59.64,59.92
Guinea-Bissau,GNB,53.61,54.11,54.63,55.14
Equatorial Guinea,GNQ,55.07,55.33,55.62,55.94
Greece,GRC,79.94,80.19,80.39,80.73
Grenada,GRD,73.04,72.96,72.87,72.77
Greenland,GRL,70.21,70.47,70.86,71.06
Guatemala,GTM,70.75,71.11,71.48,71.86
Guam,GUM,77.47,77.71,77.94,78.17
Guyana,GUY,67.52,67.79,68.06,68.32
High income,HIC,79.23,79.52,79.7,79.95
"Hong Kong SAR, China",HKG,82.38,82.78,82.98,83.42
Honduras,HND,72.8,73.06,73.32,73.57
Heavily indebted poor countries (HIPC),HPC,57.43,58.16,58.86,59.53
Croatia,HRV,75.91,76.17,76.48,76.78
Haiti,HTI,59.78,60.15,60.51,60.88
Hungary,HUN,73.7,73.9,74.21,74.86
IBRD only,IBD,70.48,70.83,71.16,71.51
IDA & IBRD total,IBT,68.05,68.42,68.77,69.13
IDA total,IDA,59.95,60.49,61.01,61.5
IDA blend,IDB,58.24,58.73,59.21,59.66
Indonesia,IDN,68.48,68.85,69.2,69.54
IDA only,IDX,60.8,61.37,61.91,62.42
India,IND,65.79,66.24,66.69,67.13
Ireland,IRL,80.1,80.19,80.74,80.75
"Iran, Islamic Rep.",IRN,73.03,73.46,73.9,74.35
Iraq,IRQ,68.19,68.34,68.57,68.85
Iceland,ISL,81.61,81.75,81.9,82.36
Israel,ISR,80.95,81.4,81.6,81.66
Italy,ITA,81.49,81.64,82.04,82.19
Jamaica,JAM,74.1,74.07,74.04,74.01
Jordan,JOR,73.1,73.27,73.43,73.58
Japan,JPN,82.59,82.93,82.84,82.59
Kazakhstan,KAZ,67.02,68.43,68.3,68.98
Kenya,KEN,58.76,59.93,60.96,61.85
Kyrgyz Republic,KGZ,68.45,69.1,69.3,69.6
Cambodia,KHM,65.39,66.01,66.56,67.04
Kiribati,KIR,65.21,65.48,65.77,66.07
"Korea, Rep.",KOR,79.52,79.97,80.12,80.57
Kuwait,KWT,73.98,74.16,74.36,74.55
Latin America & Caribbean (excluding high income),LAC,73.5,73.7,73.89,74.08
Lao PDR,LAO,63.27,63.8,64.31,64.8
Lebanon,LBN,77.91,78.16,78.36,78.51
Liberia,LBR,58.23,58.97,59.6,60.15
Libya,LBY,72.17,72.13,72.04,71.96
St. Lucia,LCA,74.57,74.71,74.85,74.99
Latin America & Caribbean,LCN,73.7,73.9,74.1,74.28
Least developed countries: UN classification,LDC,60.16,60.78,61.39,61.97
Low income,LIC,58.65,59.29,59.88,60.43
Liechtenstein,LIE,82.68,81.5,81.84,81.79
Sri Lanka,LKA,75.16,75.29,75.44,75.61
Lower middle income,LMC,65.06,65.48,65.9,66.3
Low & middle income,LMY,67.96,68.33,68.68,69.04
Lesotho,LSO,43.38,44.15,45.1,46.21
Late-demographic dividend,LTE,73.38,73.7,73.98,74.32
Lithuania,LTU,71.81,72.91,73.27,73.56
Luxembourg,LUX,80.54,80.64,80.63,80.99
Latvia,LVA,72.42,73.08,73.48,73.58
"Macao SAR, China",MAC,82.22,82.46,82.7,82.94
St. Martin (French part),MAF,78.37,78.57,78.72,78.87
Morocco,MAR,73.55,74.0,74.38,74.7
Moldova,MDA,68.67,69.12,69.62,70.12
Madagascar,MDG,62.51,62.94,63.39,63.84
Maldives,MDV,75.07,75.5,75.9,76.29
Middle East & North Africa,MEA,72.09,72.33,72.54,72.74
Mexico,MEX,75.19,75.13,75.06,75.01
Middle income,MIC,68.88,69.24,69.58,69.93
North Macedonia,MKD,74.32,74.48,74.66,74.85
Mali,MLI,54.19,54.76,55.25,55.7
Malta,MLT,79.64,80.24,81.4,80.75
Myanmar,MMR,62.68,63.09,63.52,63.98
Middle East & North Africa (excluding high income),MNA,71.59,71.81,72.01,72.21
Montenegro,MNE,74.43,74.78,75.15,75.5
Mongolia,MNG,66.45,66.92,67.38,67.82
Mozambique,MOZ,51.29,51.74,52.31,53.04
Mauritania,MRT,62.02,62.27,62.53,62.8
Mauritius,MUS,72.57,72.88,72.97,73.27
Malawi,MWI,52.21,53.89,55.56,57.16
Malaysia,MYS,74.12,74.31,74.49,74.68
North America,NAC,78.3,78.65,78.81,78.92
Namibia,NAM,53.82,55.21,56.66,58.08
New Caledonia,NCL,76.68,76.98,77.26,76.65
Niger,NER,55.76,56.56,57.33,58.08
Nigeria,NGA,49.91,50.42,50.9,51.35
Nicaragua,NIC,71.92,72.17,72.43,72.69
Netherlands,NLD,80.25,80.55,80.7,81.2
Norway,NOR,80.59,80.8,81.0,81.3
Nepal,NPL,66.73,67.18,67.61,68.03
New Zealand,NZL,80.35,80.7,80.7,80.9
OECD members,OED,78.72,78.98,79.15,79.38
Oman,OMN,75.18,75.44,75.68,75.92
Other small states,OSS,62.78,63.56,64.31,65.02
Pakistan,PAK,64.68,64.97,65.26,65.56
Panama,PAN,76.41,76.6,76.79,76.99
Peru,PER,73.83,74.12,74.41,74.7
Philippines,PHL,69.52,69.67,69.82,69.98
Papua New Guinea,PNG,61.44,61.74,62.03,62.32
Poland,POL,75.54,75.7,76.25,76.7
Pre-demographic dividend,PRE,55.28,55.94,56.59,57.22
Puerto Rico,PRI,77.96,78.19,78.42,78.64
"Korea, Dem. People’s Rep.",PRK,68.88,69.18,69.57,70.01
Portugal,PRT,78.52,78.73,79.03,80.47
Paraguay,PRY,72.25,72.45,72.65,72.86
West Bank and Gaza,PSE,72.52,72.66,72.79,72.92
Pacific island small states,PSS,68.12,68.3,68.49,68.68
Post-demographic dividend,PST,79.15,79.48,79.69,79.95
French Polynesia,PYF,75.09,75.36,75.61,75.84
Qatar,QAT,78.78,78.94,79.11,79.26
Romania,ROU,72.57,73.31,73.46,74.41
Russian Federation,RUS,67.95,68.68,68.84,69.68
Rwanda,RWA,60.61,62.13,63.43,64.52
South Asia,SAS,66.01,66.43,66.85,67.26
Saudi Arabia,SAU,73.6,73.75,73.92,74.09
Sudan,SDN,61.88,62.33,62.76,63.17
Senegal,SEN,62.88,63.61,64.28,64.9
Singapore,SGP,80.79,81.24,81.54,81.74
Solomon Islands,SLB,70.06,70.37,70.67,70.98
Sierra Leone,SLE,47.51,48.47,49.38,50.23
El Salvador,SLV,70.76,70.98,71.21,71.45
Somalia,SOM,53.33,53.65,53.99,54.34
Serbia,SRB,73.89,73.99,74.34,74.54
Sub-Saharan Africa (excluding high income),SSA,55.15,55.93,56.7,57.43
South Sudan,SSD,53.6,54.22,54.8,55.32
Sub-Saharan Africa,SSF,55.17,55.96,56.73,57.46
Small states,SST,65.05,65.64,66.2,66.75
Sao Tome and Principe,STP,66.41,66.94,67.43,67.89
Suriname,SUR,69.91,70.21,70.46,70.68
Slovak Republic,SVK,74.7,74.91,75.11,75.96
Slovenia,SVN,78.77,78.97,79.42,79.97
Sweden,SWE,81.1,81.35,81.45,81.8
Eswatini,SWZ,44.17,45.28,46.6,48.14
Seychelles,SYC,73.16,73.08,73.2,72.72
Syrian Arab Republic,SYR,73.65,72.94,72.11,71.27
Chad,TCD,49.82,50.35,50.89,51.42
East Asia & Pacific (IDA & IBRD countries),TEA,72.54,72.83,73.11,73.4
Europe & Central Asia (IDA & IBRD countries),TEC,70.4,70.97,71.31,71.89
Togo,TGO,56.18,56.82,57.47,58.09
Thailand,THA,73.34,73.77,74.18,74.59
Tajikistan,TJK,67.91,68.36,68.74,69.06
Turkmenistan,TKM,66.03,66.36,66.66,66.93
Latin America & the Caribbean (IDA & IBRD countries),TLA,73.58,73.79,73.98,74.17
Timor-Leste,TLS,66.28,66.8,67.19,67.48
Middle East & North Africa (IDA & IBRD countries),TMN,71.58,71.8,72.01,72.2
Tonga,TON,69.92,69.98,70.06,70.15
South Asia (IDA & IBRD),TSA,66.01,66.43,66.85,67.26
Sub-Saharan Africa (IDA & IBRD countries),TSS,55.17,55.96,56.73,57.46
Trinidad and Tobago,TTO,71.46,71.71,71.95,72.17
Tunisia,TUN,74.72,74.88,75.04,75.21
Turkey,TUR,73.65,74.07,74.51,74.94
Tanzania,TZA,56.78,57.67,58.58,59.52
Uganda,UGA,54.98,56.06,57.1,58.09
Ukraine,UKR,68.25,69.19,70.27,70.81
Upper middle income,UMC,72.48,72.8,73.09,73.42
Uruguay,URY,76.44,76.6,76.75,76.88
United States,USA,78.04,78.39,78.54,78.64
Uzbekistan,UZB,69.19,69.44,69.67,69.91
St. Vincent and the Grenadines,VCT,71.64,71.72,71.78,71.83
"Venezuela, RB",VEN,73.07,73.12,73.13,73.11
Virgin Islands (U.S.),VIR,77.26,77.61,77.97,78.42
Vietnam,VNM,74.62,74.74,74.84,74.9
Vanuatu,VUT,68.82,68.97,69.12,69.27
World,WLD,69.9,70.25,70.56,70.88
Samoa,WSM,71.16,71.41,71.66,71.91
Kosovo,XKX,69.4,69.65,69.9,70.15
"Yemen, Rep.",YEM,64.89,65.26,65.55,65.77
South Africa,ZAF,55.36,56.46,57.67,58.9
Zambia,ZMB,52.61,54.13,55.66,57.13
Zimbabwe,ZWE,46.5,48.45,50.64,52.9
